Fly GeneID,Fly Gene ID,FlyBaseID,Fly Symbol, Species,Human GeneID,HGNCID,Human Symbol,DIOPT Score,Weighted Score,Rank,Best Score,Best Score Reverse,Prediction Derived From
mRpS11,42061,FBgn0038474,mRpS11,Human,64963,14050,MRPS11,12,11.79,high,Yes,Yes,"Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
Fbp1,39566,FBgn0000639,Fbp1,,,,,0,0,None,,,
SP170,39123,FBgn0036022,CG8329,Human,440387,2522,CTRB2,1,1.01,low,Yes,No,OrthoDB
SP170,39123,FBgn0036022,CG8329,Human,9475,10252,ROCK2,1,1.01,low,Yes,No,OrthoDB
SP170,39123,FBgn0036022,CG8329,Human,1506,2524,CTRL,1,1.01,low,Yes,Yes,OrthoDB
SP170,39123,FBgn0036022,CG8329,Human,5652,9491,PRSS8,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,64063,14368,PRSS22,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,25823,14134,TPSG1,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,260429,30405,PRSS33,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,23430,14118,TPSD1,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,83886,15475,PRSS27,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,360226,30715,PRSS41,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,7177,12019,TPSAB1,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,10942,9485,PRSS21,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,345062,24635,PRSS48,1,1,low,Yes,No,Hieranoid
SP170,39123,FBgn0036022,CG8329,Human,5650,6368,KLK7,1,0.95,low,Yes,No,Isobase
SP170,39123,FBgn0036022,CG8329,Human,5624,9451,PROC,1,0.91,low,Yes,No,Phylome
SP170,39123,FBgn0036022,CG8329,Human,716,1247,C1S,1,0.91,low,Yes,No,Phylome
