"names","logFC","cutoff.6"
"Pxt",0.706,"up"
"pzg",-0.224,"no_change"
"Q9VKZ7_DROME",0.327,"no_change"
"qvr",-0.367,"no_change"
"R",0.765,"up"
"Rab4",-0.276,"no_change"
"Rab7",0.645,"up"
"Rae1",0.232,"no_change"
"Rala",1.46,"up"
"Ran",0.446,"no_change"
"Ranbp9",0.289,"no_change"
"RanBPM",0.343,"no_change"
"Rat1",-0.45,"no_change"
"Rbm13",-0.487,"no_change"
"rdgB",-0.274,"no_change"
"ref(2)P",-0.285,"no_change"
"REG",0.371,"no_change"
"Reg-2",0.629,"up"
"Reps",-1.018,"down"
"RfC3",0.442,"no_change"
"rg",-0.339,"no_change"
"rgn",-0.565,"no_change"
"rhea",-0.239,"no_change"
"RhoGAP1A",-0.183,"no_change"
"RhoGAP68F",-0.461,"no_change"
"RhoGAP92B",-0.396,"no_change"
"RhoGAP92B",0.337,"no_change"
"RhoGAPp190",-0.226,"no_change"
"RhoGDI",-0.142,"no_change"
"RIC-3",-0.711,"down"
"RIC-3",-0.489,"no_change"
"rod",0.476,"no_change"
"RpA-70",0.488,"no_change"
"RPA2",1.299,"up"
"Rpd3",-0.301,"no_change"
"Rpi",0.304,"no_change"
"RpL10",0.45,"no_change"
"RpL10Ab",0.759,"up"
"RpL13A",0.535,"no_change"
"RpL14",0.745,"up"
"RpL19",0.812,"up"
"RpL27",0.361,"no_change"
"RpL27A",0.935,"up"
"RpL28",0.823,"up"
"RpL3",0.582,"no_change"
"RpL30",1.661,"up"
"RpL32",1.053,"up"
"RpL34b",1.338,"up"
"RpL36",0.404,"no_change"
"RpL37A",1.699,"up"
"RpL4",0.559,"no_change"
"RpL6",0.5,"no_change"
"RpL7A",0.606,"up"
"RpL8",0.912,"up"
"RpL9",0.579,"no_change"
"RpLP0",0.278,"no_change"
"Rpn1",0.43,"no_change"
"Rpn11",1.114,"up"
"Rpn12",0.428,"no_change"
"Rpn5",0.206,"no_change"
"Rpn6",0.681,"up"
"Rpn7",0.516,"no_change"
"Rpn8",0.859,"up"
"Rpn9",0.664,"up"
"RpS12",0.64,"up"
"RpS13",0.428,"no_change"
"RpS14b",0.578,"no_change"
"RpS15",0.23,"no_change"
"RpS15Ab",-0.255,"no_change"
"RpS17",1.78,"up"
"RpS18",0.585,"up"
"RpS19a",0.407,"no_change"
"RpS27A",0.826,"up"
"RpS3",0.289,"no_change"
"RpS3A",0.766,"up"
"RpS4",0.43,"no_change"
"RpS5b",1.206,"up"
"RpS8",0.491,"no_change"
"Rpt3",0.372,"no_change"
"Rpt4",0.283,"no_change"
"Rrp42",0.487,"no_change"
"Rrp46",1.296,"up"
"Rs1",-0.353,"no_change"
"Rtnl1",0.765,"up"
"Rtnl1",0.216,"no_change"
"Rtnl1",1.034,"up"
"Saf-B",-0.464,"no_change"
"Sam-S",0.684,"up"
"Sap-r",0.318,"no_change"
"Sap130",-1.241,"down"
"Sar1",-0.369,"no_change"
"Sara",-0.27,"no_change"
"SART1",-0.294,"no_change"
"sas",-0.467,"no_change"
"Sas10",-0.412,"no_change"
"Sc2",0.485,"no_change"
"SC35",-0.339,"no_change"
"scf",-0.273,"no_change"
"Scsalpha",0.447,"no_change"
"scu",0.283,"no_change"
"scu",-1.351,"down"
"Sec61beta",0.527,"no_change"
"SelD",0.442,"no_change"
"SelR",-0.475,"no_change"
"Sema1a",-0.502,"no_change"
"Sep1",1.183,"up"
"Sep15",0.727,"up"
"Sep2",0.314,"no_change"
"Set",0.907,"up"
"Sf3a1",-0.323,"no_change"
"Sfxn2",-0.678,"down"
"Sgt",0.626,"up"
"Sherpa",-0.316,"no_change"
"shi",-0.667,"down"
"shi",-0.481,"no_change"
"shot",-0.228,"no_change"
"simj",-0.501,"no_change"
"Sin3A",-0.669,"down"
"SmD2",0.201,"no_change"
"smp-30",1.057,"up"
"SNF4Agamma",-0.354,"no_change"
"snRNP-U1-70K",-0.176,"no_change"
"Sod",0.345,"no_change"
"Sodh-2",-0.47,"no_change"
"sosie",-0.516,"no_change"
"SP1029",0.253,"no_change"
"SP1173",-0.432,"no_change"
"SPARC",-0.556,"no_change"
"spheroide",-0.349,"no_change"
"Spn27A",0.684,"up"
"Spn31A",-0.598,"down"
"Spn43Ab",-0.34,"no_change"
"SPoCk",-0.28,"no_change"
"spoon",-0.253,"no_change"
"Sptr",0.8,"up"
"sqa",-0.349,"no_change"
"sqd",-0.395,"no_change"
"Srp54",0.165,"no_change"
"Srp54k",0.23,"no_change"
"Srp68",0.294,"no_change"
"Srp72",0.279,"no_change"
"SrpRbeta",0.708,"up"
"Ssdp",-0.446,"no_change"
"ssp3",-0.66,"down"
"SsRbeta",0.812,"up"
"stac",-0.196,"no_change"
"stck",-0.435,"no_change"
"stnA",-0.301,"no_change"
"Strn-Mlck",0.254,"no_change"
"Strn-Mlck",-0.357,"no_change"
"Stt3A",0.209,"no_change"
"su(Hw)",-0.401,"no_change"
"su(s)",-0.479,"no_change"
"Sucb",0.414,"no_change"
"Sugb",-0.158,"no_change"
"Sugb",-0.675,"down"
"Surf6",-0.513,"no_change"
"Suv3",-0.401,"no_change"
"Sxl",-0.391,"no_change"
"syd",-0.3,"no_change"
"Synd",-0.227,"no_change"
"Syp",-0.253,"no_change"
"Syp",-0.21,"no_change"
"Syt1",-0.37,"no_change"
"Syt1",-0.476,"no_change"
"Syt7",-0.301,"no_change"
"t",-0.322,"no_change"
"T-cp1",0.622,"up"
"T3dh",-0.424,"no_change"
"Taf1",-0.512,"no_change"
"Tailor",0.291,"no_change"
"Taldo",0.704,"up"
"Tango7",0.236,"no_change"
"tank",-0.619,"down"
"tau",-0.629,"down"
"TBPH",-0.434,"no_change"
"Tep4",-0.806,"down"
"teq",-0.378,"no_change"
"TER94",0.296,"no_change"
"TFAM",0.32,"no_change"
"TfIIFalpha",-0.548,"no_change"
"tgy",-0.793,"down"
"thoc5",-0.449,"no_change"
"Tim17b",0.422,"no_change"
"Tim9b",-0.309,"no_change"
"Tom20",-0.216,"no_change"
"Torsin",0.743,"up"
"Tpi",0.489,"no_change"
"TppII",0.278,"no_change"
"Tret1-1",-0.211,"no_change"
"trio",-0.279,"no_change"
"Trip1",0.231,"no_change"
"TrpRS",0.752,"up"
"Trs23",-0.2,"no_change"
"Trxr-1",0.408,"no_change"
"Tsp42Ea",1.656,"up"
"Tsp74F",0.492,"no_change"
"Tspo",-0.683,"down"
"tsr",0.896,"up"
"Ttd14",0.229,"no_change"
"Tudor-SN",0.504,"no_change"
"tutl",-0.4,"no_change"
"TyrRS",0.281,"no_change"
"tzn",0.255,"no_change"
"U2A",0.617,"up"
"Uba1",0.402,"no_change"
"Ubc6",1.367,"up"
"Uch-L5",0.518,"no_change"
"Ude",-0.602,"down"
"Ugt",0.39,"no_change"
"Ugt35b",1.906,"up"
"Ugt58Fa",0.304,"no_change"
"uif",-0.266,"no_change"
"unc-104",-0.276,"no_change"
"Usp14",-0.856,"down"
"Usp16-45",-0.374,"no_change"
"Usp2",-0.368,"no_change"
"Usp5",0.258,"no_change"
"Vamp7",0.395,"no_change"
"vas",0.305,"no_change"
"Vav",-0.817,"down"
"veli",-0.238,"no_change"
"verm",-0.381,"no_change"
"Vha13",-0.493,"no_change"
"Vha14-1",-0.269,"no_change"
"Vha36-1",0.938,"up"
"Vha36-3",-1.541,"down"
"VhaSFD",0.427,"no_change"
"vib",0.28,"no_change"
"vig",-0.275,"no_change"
"vih",1.084,"up"
"Vps11",-1.099,"down"
"Vps25",-0.72,"down"
"Vps28",0.672,"up"
"Vps60",-0.331,"no_change"
"Vps8",-0.741,"down"
"wal",0.735,"up"
"wdp",-0.387,"no_change"
"wmd",0.406,"no_change"
"woc",-0.285,"no_change"
"x16",0.719,"up"
"yellow-g",0.936,"up"
"yip2",0.395,"no_change"
"Yp1",0.903,"up"
"Yp3",0.762,"up"
"ytr",-0.433,"no_change"
"Zasp66",0.827,"up"
"Zasp66",-0.08,"no_change"
"zip",2.079,"up"
"zip",-0.257,"no_change"
"Zip99C",-0.29,"no_change"
"ZnT35C",-0.458,"no_change"
"Zw10",0.472,"no_change"
