#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:21126519	(2011) Tropomyosin is an interaction partner of the Drosophila coiled coil protein yuri gagarin.	10	20	1.87	2.70e-11	7227.FBpp0071448,7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0075491,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0290753	Act57B,Lsp1gamma,Lsp1alpha,up,Fbp1,Mhc,Tm2,Tm1,chic,Rtnl1
PMID:6791899	(1981) Quantitative in situ hybridization reveals extent of sequence homology between related DNA sequences in Drosophila melanogaster.	2	3	1.99	0.0073	7227.FBpp0072365,7227.FBpp0073484	Lsp1gamma,Lsp1alpha
PMID:6804227	(1980) Comparison of the larval serum proteins of Drosophila melanogaster using one and two-dimensional peptide mapping.	2	3	1.99	0.0073	7227.FBpp0072365,7227.FBpp0073484	Lsp1gamma,Lsp1alpha
PMID:572919	(1979) The X-linked alpha-chain gene of Drosophila LSP-1 does not show dosage compensation.	2	3	1.99	0.0073	7227.FBpp0072365,7227.FBpp0073484	Lsp1gamma,Lsp1alpha
PMID:28893568	(2018) Endocrine and physiological regulation of neutral fat storage in Drosophila.	4	52	1.06	0.0074	7227.FBpp0072365,7227.FBpp0073069,7227.FBpp0073484,7227.FBpp0110269	Lsp1gamma,Akh,Lsp1alpha,Lsd-2
PMID:29670218	(2018) The impact of genome variation and diet on the metabolic phenotype and microbiome composition of Drosophila melanogaster.	3	21	1.33	0.0074	7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0075491	Lsp1gamma,Lsp1alpha,Fbp1
PMID:26488882	(2016) Involvement of Membrane Blebbing in Immunological Disorders and Cancer.	3	21	1.33	0.0074	7227.FBpp0082535,7227.FBpp0086879,7227.FBpp0088904	Tm2,AQP,Tm1
PMID:26425120	(2015) Dissecting the Potential Interplay of DEK Functions in Inflammation and Cancer.	3	21	1.33	0.0074	7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0099767	Tm2,Tm1,rdx
PMID:24898855	(2014) MUL1 acts in parallel to the PINK1parkin pathway in regulating mitofusin and compensates for loss of PINK1parkin.	3	21	1.33	0.0074	7227.FBpp0080446,7227.FBpp0082535,7227.FBpp0088904	Cyt-c-p,Tm2,Tm1
PMID:25087729	(2014) Non-muscle myosins in tumor progression, cancer cell invasion, and metastasis.	3	21	1.33	0.0074	7227.FBpp0072306,7227.FBpp0082535,7227.FBpp0088904	zip,Tm2,Tm1
PMID:23325791	(2013) Collagen remodeling by phagocytosis is determined by collagen substrate topology and calcium-dependent interactions of gelsolin with nonmuscle myosin IIA in cell adhesions.	3	21	1.33	0.0074	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084565	zip,Mhc,Mlc1
PMID:23688557	(2013) Partial venom gland transcriptome of a Drosophila parasitoid wasp, Leptopilina heterotoma, reveals novel and shared bioactive profiles with stinging Hymenoptera.	3	21	1.33	0.0074	7227.FBpp0070558,7227.FBpp0076555,7227.FBpp0099767	Rala,lark,rdx
PMID:24223779	(2013) Protein N-myristoylation plays a critical role in the endoplasmic reticulum morphological change induced by overexpression of protein Lunapark, an integral membrane protein of the endoplasmic reticulum.	3	21	1.33	0.0074	7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0290753	Tm2,Tm1,Rtnl1
PMID:21977329	(2011) Toll-like receptors and myocardial inflammation.	3	21	1.33	0.0074	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452	zip,wupA,Mhc
PMID:32267872	(2020) Characterization of a novel compound that promotes myogenesis via Akt and transcriptional co-activator with PDZ-binding motif (TAZ) in mouse C2C12 cells.	3	22	1.31	0.0083	7227.FBpp0070333,7227.FBpp0072306,7227.FBpp0080452	CG4406,zip,Mhc
PMID:29411264	(2018) Understanding Miro GTPases: Implications in the Treatment of Neurodegenerative Disorders.	3	22	1.31	0.0083	7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0088546	wupA,Mhc,TpnC73F
PMID:29689194	(2018) Morphogenesis and Compartmentalization of the Intestinal Crypt.	3	22	1.31	0.0083	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084565	zip,Mhc,Mlc1
PMID:29879123	(2018) Calcium and cAMP directly modulate the speed of the Drosophila circadian clock.	3	22	1.31	0.0083	7227.FBpp0070558,7227.FBpp0075491,7227.FBpp0088363	Rala,Fbp1,Lsp2
PMID:30091661	(2018) Spectrin regulates cell contractility through production and maintenance of actin bundles in the Caenorhabditis elegans spermatheca.	3	22	1.31	0.0083	7227.FBpp0072306,7227.FBpp0082535,7227.FBpp0088904	zip,Tm2,Tm1
PMID:28287085	(2017) Dynamic transcriptomes identify biogenic amines and insect-like hormonal regulation for mediating reproduction in Schistosoma japonicum.	3	22	1.31	0.0083	7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088904	wupA,Tm2,Tm1
PMID:29042683	(2017) Hormone Signaling Regulates Nymphal Diapause in Laodelphax striatellus (Hemiptera: Delphacidae).	3	22	1.31	0.0083	7227.FBpp0076270,7227.FBpp0082535,7227.FBpp0088904	Argk,Tm2,Tm1
PMID:29255146	(2017) Misato underlies visceral myopathy in Drosophila.	3	22	1.31	0.0083	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0080452	Act57B,zip,Mhc
PMID:25080065	(2015) Cytoskeletal and signaling mechanisms of neurite formation.	3	22	1.31	0.0083	7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196	Tm2,Tm1,chic
PMID:24586908	(2014) Comparative proteomics and expression analysis of five genes in Epicauta chinensis larvae from the first to fifth instar.	3	22	1.31	0.0083	7227.FBpp0073847,7227.FBpp0080452,7227.FBpp0088904	Ahcy13,Mhc,Tm1
PMID:23885122	(2013) Arp23 complex is essential for actin network treadmilling as well as for targeting of capping protein and cofilin.	3	22	1.31	0.0083	7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	Tm2,Mlc1,Tm1
PMID:19619614	(2009) A putative amino acid transporter of the solute carrier 6 family is upregulated by lithium and is required for resistance to lithium toxicity in Drosophila.	3	22	1.31	0.0083	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084959	zip,Mhc,RpL32
PMID:31786266	(2020) X-ray Crystallographic and Molecular Dynamic Analyses of Drosophila melanogaster Embryonic Muscle Myosin Define Domains Responsible for Isoform-Specific Properties.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:31963509	(2020) Plant Mitochondrial Carriers: Molecular Gatekeepers That Help to Regulate Plant Central Carbon Metabolism.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:32168374	(2020) uORFlight: a vehicle toward uORF-mediated translational regulation mechanisms in eukaryotes.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:32799913	(2020) Drosophila myosin mutants model the disparate severity of type 1 and type 2B distal arthrogryposis and indicate an enhanced actin affinity mechanism.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:32817166	(2020) Alternative N-terminal regions of Drosophila myosin heavy chain II regulate communication of the purine binding loop with the essential light chain.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:33234710	(2020) Impaired muscle morphology in a Drosophila model of myosin storage myopathy was supressed by overexpression of an E3 ubiquitin ligase.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:30367420	(2019) Myogenesis in Drosophila melanogaster: Dissection of Distinct Muscle Types for Molecular Analysis.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:30514714	(2019) Investigation of the Developmental Requirements of Drosophila HP1 and Insulator Protein Partner, HIPP1.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:30826400	(2019) Myosin heavy chain mutations that cause Freeman-Sheldon syndrome lead to muscle structural and functional defects in Drosophila.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:30865518	(2019) The load dependence of muscle's force-velocity curve is modulated by alternative myosin converter domains.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:30893800	(2019) The Dual Prey-Inactivation Strategy of Spiders-In-Depth Venomic Analysis of Cupiennius salei.	3	24	1.27	0.0088	7227.FBpp0073069,7227.FBpp0075491,7227.FBpp0088363	Akh,Fbp1,Lsp2
PMID:30950055	(2019) The R249Q hypertrophic cardiomyopathy myosin mutation decreases contractility in Drosophila by impeding force production.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:31324618	(2019) Inhalation of marijuana affects Drosophila heart function.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:31681318	(2019) Editorial: Ligands, Adaptors and Pathways of TLRs in Non-mammals.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:31681374	(2019) Rice Genome-Scale Network Integration Reveals Transcriptional Regulators of Grass Cell Wall Synthesis.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:28476631	(2018) Gating of Connexin Channels by transjunctional-voltage: Conformations and models of open and closed states.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:29355717	(2018) Localization and promotion of recombinant human bone morphogenetic protein-2 bioactivity on extracellular matrix mimetic chondroitin sulfate-functionalized calcium phosphate cement scaffolds.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:29458174	(2018) Networks that link cytoskeletal regulators and diaphragm proteins underpin filtration function in Drosophila nephrocytes.	3	23	1.29	0.0088	7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196	Tm2,Tm1,chic
PMID:29539400	(2018) Five Alternative Myosin Converter Domains Influence Muscle Power, Stretch Activation, and Kinetics.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:29761100	(2018) Moving the Cellular Peptidome by Transporters.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:29788112	(2018) Evolution of Gustatory Receptor Gene Family Provides Insights into Adaptation to Diverse Host Plants in Nymphalid Butterflies.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:29889908	(2018) Binding of EphrinA5 to RET receptor tyrosine kinase: An in vitro study.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:29946036	(2018) Drosophila model of myosin myopathy rescued by overexpression of a TRIM-protein family member.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:30050002	(2018) VKORC1L1, An Enzyme Mediating the Effect of Vitamin K in Liver and Extrahepatic Tissues.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:30082904	(2018) Inverse-response Ca2+ indicators for optogenetic visualization of neuronal inhibition.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:30301854	(2018) Pathogenicity of Serratia marcescens Strains in Honey Bees.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:27881413	(2017) The Drosophila indirect flight muscle myosin heavy chain isoform is insufficient to transform the jump muscle into a highly stretch-activated muscle type.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:28034796	(2017) Mechanics and regulation of cytokinesis in budding yeast.	3	23	1.29	0.0088	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084565	zip,Mhc,Mlc1
PMID:28125396	(2017) Current insights into LMNA cardiomyopathies: Existing models and missing LINCs.	3	23	1.29	0.0088	7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0088546	up,Mhc,TpnC73F
PMID:28258125	(2017) A Drosophila model of dominant inclusion body myopathy type 3 shows diminished myosin kinetics that reduce muscle power and yield myofibrillar defects.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:28428550	(2017) Structure-based dynamic arrays in regulatory domains of sodium-calcium exchanger (NCX) isoforms.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:28436435	(2017) Structure and function of the divalent anionNa+ symporter from Vibrio cholerae and a humanized variant.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:28663347	(2017) Adenomatous polyposis coli nucleates actin assembly to drive cell migration and microtubule-induced focal adhesion turnover.	3	23	1.29	0.0088	7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196	Tm2,Tm1,chic
PMID:28973424	(2017) Myosin storage myopathy mutations yield defective myosin filament assembly in vitro and disrupted myofibrillar structure and function in vivo.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:29147007	(2017) Modulating cellular balance of Rps3 mono-ubiquitination by both Hel2 E3 ligase and Ubp3 deubiquitinase regulates protein quality control.	3	24	1.27	0.0088	7227.FBpp0074180,7227.FBpp0082465,7227.FBpp0291653	RpS5a,RpS5b,RpL30
PMID:26963637	(2016) Human PIEZO1 Ion Channel Functions as a Split Protein.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:27100621	(2016) Dibutyl Phthalate Exposure Disrupts Evolutionarily Conserved Insulin and Glucagon-Like Signaling in Drosophila Males.	2	4	1.87	0.0088	7227.FBpp0073069,7227.FBpp0086666	Akh,Mdr50
PMID:27149989	(2016) Cellular dynamics of regeneration reveals role of two distinct Pax7 stem cell populations in larval zebrafish muscle repair.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:27271528	(2016) An Introduction to Programming for Bioscientists: A Python-Based Primer.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:27337045	(2016) Identification of a 3rd Na+ Binding Site of the Glycine Transporter, GlyT2.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:27409813	(2016) Unexpected role of interferon-Gamma in regulating neuronal connectivity and social behaviour.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:27755549	(2016) Single Channel Recordings Reveal Differential Beta2 Subunit Modulations Between Mammalian and Drosophila BKCa(Beta2) Channels.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:27768897	(2016) Toxic PR Poly-Dipeptides Encoded by the C9orf72 Repeat Expansion Target LC Domain Polymers.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:25428883	(2015) TRA2beta controls Mypt1 exon 24 splicing in the developmental maturation of mouse mesenteric artery smooth muscle.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:25766741	(2015) Horizontal transfer of a non-autonomous Helitron among insect and viral genomes.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:25912357	(2015) The c-Fos and c-Jun from Litopenaeus vannamei play opposite roles in Vibrio parahaemolyticus and white spot syndrome virus infection.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:26098370	(2015) X-ray structure of a mammalian stearoyl-CoA desaturase.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:26175091	(2015) Insight into the Binding Mode of Agonists of the Nicotinic Acetylcholine Receptor from Calculated Electron Densities.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:26459340	(2015) Expression and testing in plants of ArcLight, a genetically-encoded voltage indicator used in neuroscience research.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:26481814	(2015) Molecular Mechanism of Dopamine Transport by Human Dopamine Transporter.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:26493106	(2015) APC controls asymmetric WntBeta-catenin signaling and cardiomyocyte proliferation gradient in the heart.	3	24	1.27	0.0088	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084565	zip,Mhc,Mlc1
PMID:26503701	(2015) Binding site residues control inhibitor selectivity in the human norepinephrine transporter but not in the human dopamine transporter.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:26566042	(2015) Cross-Species Interaction between Rapidly Evolving Telomere-Specific Drosophila Proteins.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:26695939	(2015) Thermostabilization of the Human Serotonin Transporter in an Antidepressant-Bound Conformation.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:24269640	(2014) Antagonist-induced conformational changes in dopamine transporter extracellular loop two involve residues in a potential salt bridge.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:24336359	(2014) High-resolution mapping of transcription factor binding sites on native chromatin.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:24498429	(2014) Shared gene structures and clusters of mutually exclusive spliced exons within the metazoan muscle myosin heavy chain genes.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:24576496	(2014) Conformational changes in dopamine transporter intracellular regions upon cocaine binding and dopamine translocation.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:24604198	(2014) Structural basis for heavy metal detoxification by an Atm1-type ABC exporter.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:24683465	(2014) Interspecific diversity in root antioxidative enzyme activities reflect root turnover strategies and preferred habitats in wetland graminoids.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:25125302	(2014) Cardiomyocyte-specific deletion of Gsk3Alfa mitigates post-myocardial infarction remodeling, contractile dysfunction, and heart failure.	3	23	1.29	0.0088	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452	zip,wupA,Mhc
PMID:25324390	(2014) Structure and selectivity in bestrophin ion channels.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:22986533	(2013) FAT1 acts as an upstream regulator of oncogenic and inflammatory pathways, via PDCD4, in glioma cells.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:23104988	(2013) Cell culture and Drosophila model systems define three classes of anaplastic lymphoma kinase mutations in neuroblastoma.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:23382937	(2013) DNA elements reducing transcriptional gene silencing revealed by a novel screening strategy.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:23506860	(2013) The ABCs of membrane transporters in health and disease (SLC series): introduction.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:23509070	(2013) The C8ORF38 homologue Sicily is a cytosolic chaperone for a mitochondrial complex I subunit.	3	23	1.29	0.0088	7227.FBpp0073682,7227.FBpp0080446,7227.FBpp0100182	up,Cyt-c-p,mt:ND5
PMID:23555310	(2013) Elevated expression of the integrin-associated protein PINCH suppresses the defects of Drosophila melanogaster muscle hypercontraction mutants.	3	24	1.27	0.0088	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452	up,wupA,Mhc
PMID:23613306	(2013) In vitro indeterminate teleost myogenesis appears to be dependent on Pax3.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:23776565	(2013) The phosphoarginine energy-buffering system of trypanosoma brucei involves multiple arginine kinase isoforms with different subcellular locations.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:23790374	(2013) An embryonic myosin isoform enables stretch activation and cyclical power in Drosophila jump muscle.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:23900650	(2013) Mechanisms of actin disassembly.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:24025634	(2013) Dynamic functions of RhoA in tumor cell migration and invasion.	3	23	1.29	0.0088	7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	Tm2,Mlc1,Tm1
PMID:24260463	(2013) Novel virus discovery and genome reconstruction from field RNA samples reveals highly divergent viruses in dipteran hosts.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:22062954	(2012) MicroRNA profiling predicts a variance in the proliferative potential of cardiac progenitor cells derived from neonatal and adult murine hearts.	2	4	1.87	0.0088	7227.FBpp0073682,7227.FBpp0080452	up,Mhc
PMID:22119843	(2012) Purification of cardiac cells from Drosophila embryos.	2	4	1.87	0.0088	7227.FBpp0071448,7227.FBpp0074298	Act57B,wupA
PMID:22349210	(2012) Identification of functional differences between recombinant human Alfa and Beta cardiac myosin motors.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:22697058	(2012) Variation of presenceabsence genes among Arabidopsis populations.	2	4	1.87	0.0088	7227.FBpp0074180,7227.FBpp0082465	RpS5a,RpS5b
PMID:23152593	(2012) Drosophila Psidin regulates olfactory neuron number and axon targeting through two distinct molecular mechanisms.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:21283586	(2011) Gating of a pH-sensitive K(2P) potassium channel by an electrostatic effect of basic sensor residues on the selectivity filter.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:21356127	(2011) History and phylogeny of intermediate filaments: now in insects.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:21420033	(2011) MicroRNAs in cardiac disease.	3	24	1.27	0.0088	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452	zip,up,Mhc
PMID:21589894	(2011) Novel and conserved protein macoilin is required for diverse neuronal functions in Caenorhabditis elegans.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:22152231	(2011) Strategies and methods to study sex differences in cardiovascular structure and function: a guide for basic scientists.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:20059771	(2010) Glutamate, aspartate and nucleotide transporters in the SLC17 family form four main phylogenetic clusters: evolution and tissue expression.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:20380705	(2010) Isolation and functional characterization of lycopene beta-cyclase (CYC-B) promoter from Solanum habrochaites.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:20458611	(2010) Promoter specificity and interactions between early and late Arabidopsis heat shock factors.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:20544010	(2010) Conformational Propensities of Peptides Mimicking Transmembrane Helix 5 and Motif C in Wild-type and Mutant Vesicular Acetylcholine Transporters.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:20718491	(2010) Preservation of field samples for enzymatic and proteomic characterization: analysis of proteins from the trophallactic fluid of hornets and yellowjackets.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:20816067	(2010) The influence of myosin converter and relay domains on cross-bridge kinetics of Drosophila indirect flight muscle.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:20864927	(2010) In vivo imaging of intact Drosophila larvae at sub-cellular resolution.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:18836194	(2009) The Universal Protein Resource (UniProt) 2009.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:19270704	(2009) The impact of copy number variation on local gene expression in mouse hematopoietic stem and progenitor cells.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:19284548	(2009) Phenotypes induced by NM causing alpha-skeletal muscle actin mutants in fibroblasts, Sol 8 myoblasts and myotubes.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:19346012	(2009) In vitro hepatic metabolism of 2,2',4,4',5-pentabromodiphenyl ether (BDE 99) in Chinook salmon (Onchorhynchus tshawytscha).	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
PMID:19564427	(2009) A structural model for K2P potassium channels based on 23 pairs of interacting sites and continuum electrostatics.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:19567471	(2009) Troponin I and Tropomyosin regulate chromosomal stability and cell polarity.	2	4	1.87	0.0088	7227.FBpp0074298,7227.FBpp0082535	wupA,Tm2
PMID:19814781	(2009) Retinoic acid enhances skeletal muscle progenitor formation and bypasses inhibition by bone morphogenetic protein 4 but not dominant negative beta-catenin.	3	24	1.27	0.0088	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0084565	zip,Mhc,Mlc1
PMID:18625337	(2008) Leishmania sand fly interaction: progress and challenges.	2	4	1.87	0.0088	7227.FBpp0075272,7227.FBpp0086879	Arl1,AQP
PMID:18805920	(2008) Alternative versions of the myosin relay domain differentially respond to load to influence Drosophila muscle kinetics.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:19021911	(2008) Exploring the mialome of ticks: an annotated catalogue of midgut transcripts from the hard tick, Dermacentor variabilis (Acari: Ixodidae).	3	23	1.29	0.0088	7227.FBpp0076320,7227.FBpp0082535,7227.FBpp0088904	Prm,Tm2,Tm1
PMID:17603108	(2007) A genetic mosaic analysis with a repressible cell marker screen to identify genes involved in tracheal cell migration during Drosophila air sac morphogenesis.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:18159245	(2007) Noncompaction of the ventricular myocardium is associated with a de novo mutation in the beta-myosin heavy chain gene.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:18820447	(2007) Direct measurement of the performance of the Drosophila jump muscle in whole flies.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:16399836	(2006) An alternative domain near the ATP binding pocket of Drosophila myosin affects muscle fiber kinetics.	2	4	1.87	0.0088	7227.FBpp0072306,7227.FBpp0080452	zip,Mhc
PMID:16914743	(2006) Mice with a targeted mutation of patched2 are viable but develop alopecia and epidermal hyperplasia.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:16254076	(2005) Cleavage of dsRNAs hyper-edited by ADARs occurs at preferred editing sites.	2	4	1.87	0.0088	7227.FBpp0082535,7227.FBpp0088904	Tm2,Tm1
PMID:15039447	(2004) Hox transcription factor ultrabithorax Ib physically and genetically interacts with disconnected interacting protein 1, a double-stranded RNA-binding protein.	2	4	1.87	0.0088	7227.FBpp0075491,7227.FBpp0088363	Fbp1,Lsp2
