#submitted_item	validated_id	current_symbol
CT9987	FBgn0035189	CG9119
CRMP	FBgn0023023	CRMP
CG5023	FBgn0038774	CG5023
Dap160	FBgn0023388	Dap160
Glycogenin	FBgn0265191	Gyg
Tctp	FBgn0037874	Tctp
eEF1delta	FBgn0032198	eEF1Î´
CG9572-RA	FBtr0070006	aspr-RA
SPH	FBgn0032213	CG5390
deltaCOP	FBgn0028969	Î´COP
CG5839	FBgn0051233	CG31233
CG5839	FBgn0051343	CG31343
AP-2alpha	FBgn0264855	AP-2Î±
AP-2alpha	FBgn0261953	TfAP-2
Tm1	FBgn0003721	Tm1
Gad1	FBgn0004516	Gad1
CG9512	FBgn0030593	CG9512
COX4	FBgn0032833	COX4
Adk2	FBgn0036337	Adk2
Adk2	FBgn0283494	Ak2
Sodh-1	FBgn0024289	Sodh-1
alphaTub67C	FBgn0087040	Î±Tub67C
Calx	FBgn0013995	Calx
CG10932	FBgn0029969	CG10932
eIF5	FBgn0030719	eIF5
eIF5	FBgn0250753	kra
ALiX	FBgn0086346	ALiX
nonA	FBgn0004227	nonA
CG10737	FBgn0034420	CG10737
Obp99c	FBgn0039682	Obp99c
Obp99c	FBgn0039684	Obp99d
Pdh	FBgn0011693	Pdh
Pdh	FBgn0028325	Pdha
Pdh	FBgn0039635	Pdhb
Ide	FBgn0001247	Ide
ABCB7	FBgn0035244	ABCB7
Mal-A6	FBgn0050360	Mal-A6
SmydA-9	FBgn0030102	SmydA-9
Hsp68	FBgn0001230	Hsp68
Hsp26	FBgn0001225	Hsp26
Pfrx	FBgn0027621	Pfrx
Bacc	FBgn0031453	Bacc
CG3800	FBgn0034802	CNBP
Iswi	FBgn0011604	Iswi
RpS6	FBgn0261592	RpS6
CG3760-RB	FBtr0072391	CG3760-RB
Fdh	FBgn0011768	Fdh
GCS2beta	FBgn0032643	GCS2Î²
mRpS30	FBgn0030692	mRpS30
eIF3j	FBgn0027619	eIF3j
tsr	FBgn0011726	tsr
tsr	FBgn0010258	Rbp4
SCOT	FBgn0035298	SCOT
Mal-A7	FBgn0033296	Mal-A7
AsnRS	FBgn0086443	AsnRS
CG42492	FBgn0259994	OtopLa
CG5844	FBgn0038049	Srlp
AdSS	FBgn0027493	AdSS
Gp210	FBgn0266580	Gp210
Rpt4	FBgn0028685	Rpt4
grsm	FBgn0040493	grsm
Nopp140	FBgn0037137	Nopp140
CG9436	FBgn0033101	CG9436
YME1L	FBgn0034792	YME1L
mtd	FBgn0013576	mtd
rdgA	FBgn0261549	rdgA
CG8635	FBgn0033317	CG8635
CG8545-RA	FBtr0087934	CG8545-RA
Pp2B-14D	FBgn0011826	Pp2B-14D
Bsg	FBgn0261822	Bsg
Sec63	FBgn0035771	Sec63
Sec23	FBgn0262125	Sec23
CG7766	FBgn0030087	CG7766
SRPK	FBgn0286813	SRPK
SRPK	FBgn0025702	Srpk79D
prom	FBgn0259210	prom
wal	FBgn0010516	wal
EMC1	FBgn0037530	EMC1
Prm	FBgn0003149	Prm
eIF3-S9	FBgn0034237	eIF3b
AGO1	FBgn0262739	AGO1
AGO1	FBgn0087035	AGO2
jbug	FBgn0028371	jbug
KRT2	unknown ID	-
dre4	FBgn0002183	dre4
Zasp52	FBgn0265991	Zasp52
Gtp-bp	FBgn0010339	128up
Gtp-bp	FBgn0010391	SrpRÎ±
Mlp60A	FBgn0259209	Mlp60A
Cortactin	FBgn0025865	Cortactin
BcDNA:GH07921	FBgn0027567	Ciz1
exu	FBgn0000615	exu
Cbp80	FBgn0022942	Cbp80
Fkbp14	FBgn0010470	Fkbp14
CG3760	FBgn0022343	CG3760
Cyp12a4	FBgn0038681	Cyp12a4
COX5B	FBgn0031830	COX5B
tobi	FBgn0261575	tobi
Mcm2	FBgn0014861	Mcm2
l(1)1Bi	FBgn0001341	Mybbp1A
CG4849	FBgn0039566	CG4849
tzn	FBgn0037024	tzn
smp-30	FBgn0038257	smp-30
RpL10Ab	FBgn0036213	RpL10Ab
Plap	FBgn0024314	Plap
Zw	FBgn0004057	Zw
CG5210	FBgn0013763	Idgf6
Cubn	FBgn0052702	Cubn
ico	FBgn0263133	mEFG1
Ran	FBgn0020255	Ran
Ran	FBgn0003346	RanGAP
CG8003	FBgn0036096	CG8003
Mtr4	FBgn0001986	Mtr4
AMPdeam	FBgn0052626	AMPdeam
Ddc	FBgn0000422	Ddc
CG8963	FBgn0034181	CG8963
NTPase	FBgn0024947	NTPase
Neurochondrin	FBgn0037447	Neurochondrin
eIF-3p40	FBgn0022023	eIF3h
prtp	FBgn0030329	prtp
CG5839	FBgn0051233	CG31233
CG5839	FBgn0051343	CG31343
128up	FBgn0010339	128up
RpII215	FBgn0003277	Polr2A
RpII215	FBgn0004855	Polr2I
CRMP	FBgn0023023	CRMP
CG5009	FBgn0027572	ACOX1
CG2852	FBgn0034753	CG2852
CG5171-RC	unknown ID	-
CD98hc	FBgn0037533	CD98hc
LpR2	FBgn0051092	LpR2
Gl	FBal0005065	DCTN1-p150[1]
Gl	FBgn0001108	DCTN1-p150
Gl	FBgn0004618	gl
mor	FBgn0002783	mor
ArfGAP3	FBgn0037182	ArfGAP3
SH3PX1	FBgn0040475	SH3PX1
CG42258	FBgn0259143	CG42258
Ge-1	FBgn0283682	Ge-1
mRpL13	FBgn0032720	mRpL13
Atx2	FBgn0041188	Atx2
RanGAP	FBgn0003346	RanGAP
l(2)gl	FBgn0002121	l(2)gl
ImpL3	FBgn0001258	Ldh
Gbs-76A	FBgn0036862	Gbs-76A
scrib	FBgn0263289	scrib
scrib	FBgn0263289	scrib
Pen	FBgn0287720	Pen
rump	FBgn0267790	rump
Hmu	FBgn0015737	Hmu
CG14207	FBgn0031037	CG14207
ATPsyndelta	FBgn0028342	ATPsynÎ´
CG11899	FBgn0014427	CG11899
AdSL	FBgn0038467	AdSL
Flo2	FBgn0264078	Flo2
SF2	FBgn0283477	SF2
SF2	FBal0008402	l(2)34Db[1]
KRT9	unknown ID	-
Eb1	FBgn0027066	Eb1
Nap1	FBgn0015268	Nap1
Nap1	FBgn0011771	Hem
RpL31	FBgn0285949	RpL31
Nup107	FBgn0027868	Nup107
sta	FBgn0003517	sta
sta	FBab0010522	Df(1)sta
cib	FBgn0026084	cib
Lmpt	FBgn0261565	Lmpt
CanA1	FBgn0010015	CanA1
Nopp140	FBgn0037137	Nopp140
Hsp23	FBgn0001224	Hsp23
cindr	FBgn0027598	cindr
BcDNA:HL01868	FBgn0035720	CG10077
Tom70	FBgn0032397	Tom70
26-29-p	FBgn0250848	26-29-p
Aats-gln	FBgn0027090	GlnRS
Lmpt	FBgn0261565	Lmpt
GH07925p	FBgn0036824	CG3902
CG31188	FBgn0042182	CG18749
CG31188	FBgn0064126	CG33722
sxc	FBgn0261403	sxc
Roe1	FBgn0014877	Roe1
Galphao	FBgn0001122	GÎ±o
Zw	FBgn0004057	Zw
CG11779	FBgn0038683	CG11779
eIF4H1	FBgn0262734	eIF4H1
CG5728	FBgn0039182	CG5728
pnut	FBgn0013726	pnut
unc-45	FBgn0010812	unc-45
und	FBgn0283478	und
PCNA	FBgn0005655	PCNA
RpL40	FBgn0003941	RpL40
PAPLA1	FBgn0031990	PAPLA1
CG3702	FBgn0031590	CG3702
lqfR	FBgn0261279	lqfR
Nph	FBgn0039735	Nph
CG44195	FBgn0265084	CG44195
AMPdeam	FBgn0052626	AMPdeam
fabp	FBgn0037913	fabp
GstT1	FBgn0050000	GstT1
UK114	FBgn0086691	UK114
CG14742	FBgn0037997	CG14742
Usp7	FBgn0030366	Usp7
CG2930	FBgn0028491	CG2930
Mf	FBgn0038294	Mf
CG12264	FBgn0032393	Nfs1
p47	FBgn0033179	p47
p47	FBgn0030329	prtp
p47	FBgn0259729	CG42383
Nup98-96	FBgn0039120	Nup98-96
Trp1	FBgn0011584	Trp1
Obp19d	FBgn0011280	Obp19d
shg	FBgn0003391	shg
Fib	FBgn0003062	Fib
LKRSDH	FBgn0286198	LKRSDH
CG16721	FBgn0029820	CG16721
Chro	FBgn0044324	Chro
shrb	FBgn0086656	shrb
Grx3	FBgn0032509	CG6523
CG9527	FBgn0031813	Acox3
CG1218	FBgn0037377	CG1218
CG13850	FBgn0038961	CG13850
CG6724	FBgn0032298	CG6724
CG43143	FBgn0262617	Nuak
nop5	FBgn0026196	nop5
Rpn7	FBgn0028688	Rpn7
Unc-115a	FBgn0051352	Unc-115a
cathD	FBgn0029093	cathD
Rpn8	FBgn0002787	Rpn8
Chd64	FBgn0035499	Chd64
La	FBgn0011638	La
eIF3-S6	FBgn0025582	eIF3e
CG4692	FBgn0035032	ATPsynF
CG7910	FBgn0037547	CG7910
Lsd-1	FBgn0039114	Lsd-1
CG33129	FBgn0053129	CG33129
RpL8	FBgn0261602	RpL8
metro	FBgn0050021	metro
CT16297	FBgn0031313	CG5080
Cpr47Ef	FBgn0033603	Cpr47Ef
CG2233	FBgn0029990	CG2233
EndoGI	FBgn0028515	EndoGI
Tret1-1	FBgn0050035	Tret1-1
Clbn	FBgn0259152	Clbn
Sf3b3	FBgn0035162	Sf3b3
AhcyL1	FBgn0035371	AhcyL1
Dis3	FBgn0039183	Dis3
nwk	FBgn0263456	nwk
nwk	FBal0154819	nwk[1]
Tor	FBgn0021796	Tor
Tor	FBgn0003731	Egfr
Tor	FBgn0003733	tor
CG7322	FBgn0030968	CG7322
HDAC6	FBgn0026428	HDAC6
Gip	FBgn0011770	Gip
CG9330	FBgn0036888	CG9330
CG9509	FBgn0030594	fiz
Mtap	FBgn0034215	Mtap
l(2)tid	FBgn0002174	CG5504
l(2)tid	FBgn0011297	Alg3
SMC2	FBgn0027783	SMC2
ND-19	FBgn0035046	ND-19
RpS18	FBgn0010411	RpS18
RpS18	FBgn0286220	M(2)56F
CG4882	FBgn0025336	CG4882
Rbcn-3B	FBgn0023510	Rbcn-3B
pyd3	FBgn0037513	pyd3
Fatp	FBgn0267828	Fatp1
RanBPM	FBgn0262114	RanBPM
mfas	FBgn0260745	mfas
verm	FBgn0261341	verm
verm	FBti0024694	P{SUPor-P}verm[KG07819]
CG10097	FBgn0038033	CG10097
Klp10A	FBgn0030268	Klp10A
AnxB9	FBgn0000083	AnxB9
Ufl1	FBgn0037467	Ufl1
CG1354	FBgn0030151	CG1354
Uch-L5	FBgn0011327	Uch-L5
BcDNA:LD43276	FBgn0036828	Prp6
BEST:GH06087	FBgn0032076	Argl
BEST:GH06087	FBgn0032077	CG9515
BEST:GH06087	FBgn0032336	AstC
CG3011	FBgn0029823	Shmt
Gnf1	FBgn0004913	Gnf1
mRpL37	FBgn0261380	mRpL37
AAF51037	FBgn0031589	Naprt
mRpS5	FBgn0287187	mRpS5
l(2)04524	FBal0008064	Eb1[04524]
l(2)04524	FBgn0027066	Eb1
l(2)04524	FBti0005272	P{PZ}Eb1[04524]
CG7414	FBgn0037135	CG7414
Fit1	FBgn0035498	Fit1
if	FBgn0001250	if
Rpn9	FBgn0028691	Rpn9
Clect27	FBgn0287234	slf
Rat1	FBgn0031868	Rat1
BcDNA.LD23634	FBgn0028474	CG4119
IA-2	FBgn0031294	IA-2
CT18564	FBgn0032494	CG5945
CG31548	FBgn0051548	CG31548
CG10911	FBgn0034295	CG10911
CG1532	FBgn0031143	CG1532
ens	FBgn0264693	ens
DCTN2-p50	FBgn0021825	DCTN2-p50
cv-d	FBgn0265048	cv-d
ndl	FBgn0002926	ndl
CG6907	FBgn0031711	CG6907
Glt	FBgn0001114	Glt
ND-ASHI	FBgn0029888	ND-ASHI
PHGPx	FBgn0035438	PHGPx
CG3270-RA	FBtr0086123	CG3270-RA
rgn	FBgn0261258	rgn
EG:22E5.5	FBgn0025628	CG4199
CG32164	FBgn0042177	Arts
ergic53	FBgn0035909	ergic53
CG8446-RE	unknown ID	-
BEST:GH19401	FBgn0043456	Ndf
Prosalpha7	FBgn0023175	ProsÎ±7
Pp2A-29B	FBgn0260439	Pp2A-29B
CG4747	FBgn0043456	Ndf
c11.1	FBgn0040236	c11.1
CG8520	FBgn0033734	CG8520
Oscillin	FBgn0031717	Oscillin
Bsg	FBgn0261822	Bsg
Vps4	FBgn0283469	Vps4
nrv1	FBgn0015776	nrv1
APP-BP1	FBgn0261112	APP-BP1
tws	FBgn0004889	tws
DNA-ligI	FBgn0262619	DNAlig1
Kr-h2	FBgn0266449	Kr-h2
CG13506-RA	FBtr0071822	CG13506-RA
RpLP1	FBgn0002593	RpLP1
c12.2	FBgn0040234	c12.2
row	FBgn0033998	row
CG6180	FBgn0032453	CG6180
l(2)tid	FBgn0002174	CG5504
l(2)tid	FBgn0011297	Alg3
Caf1	FBgn0030054	Caf1-180
Caf1	FBgn0033526	Caf1-105
Caf1	FBgn0036239	Pop2
Caf1	FBgn0263979	Caf1-55
CG5787	FBgn0032454	CG5787
Aac11	FBgn0286781	cass
Nsun2	FBgn0026079	Nsun2
CG17597	FBgn0032715	CG17597
CG17597	FBgn0020907	Scp2
CG8199	FBgn0037709	CG8199
Arc42	FBgn0038742	Arc42
Rab2	FBgn0014009	Rab2
ScpX	FBgn0015808	ScpX
Synj	FBgn0034691	Synj
atilla	FBgn0032422	atilla
Acp65Aa	FBgn0020765	Acp65Aa
CG8927	FBgn0038405	CG8927
Aldh-III	FBgn0010548	Aldh-III
CG13865	FBgn0039965	Coa7
Nacalpha	FBgn0086904	NacÎ±
Chchd3	FBgn0010808	Chchd3
Nlp	FBgn0016685	Nlp
ttm50	FBgn0250874	ttm50
CG9231	FBgn0036887	CG9231
CG8547	FBgn0033919	CG8547
Obp44a	FBgn0033268	Obp44a
CG3209	FBgn0034971	Gpat4
dnc	FBgn0000479	dnc
anon-WO0140519.245	FBgn0027554	CG8042
Cbs	FBgn0031148	Cbs
Cbs	FBgn0086757	cbs
gek	FBgn0023081	gek
sea	FBgn0037912	sea
RpS19a	FBgn0010412	RpS19a
syd	FBgn0024187	syd
syd	FBgn0010415	Sdc
CtsB1	FBgn0030521	CtsB
Ube4b	FBgn0032467	Ube4B
CG9248	FBgn0032923	Pld3
LManIII	FBgn0032066	LManIII
BcDNA:RE71975	FBgn0032897	CG9336
CG32549-RE	FBtr0074571	Nt5b-RE
Dhod	FBgn0000447	Dhod
CG11334	FBgn0039849	CG11334
Sam-S	FBgn0005278	Sam-S
Klp3A	FBgn0011606	Klp3A
Nplp2	FBgn0287423	Nplp2
CG11980	FBgn0037652	CG11980
alpha-PheRS	FBgn0030007	Î±-PheRS
Mdr65	FBgn0004513	Mdr65
GSS	FBgn0030882	Gss1
ND-B17	FBgn0001989	ND-B17
CG9911	FBgn0030734	ERp44
CG1440	FBgn0030038	CG1440
mRpL39	FBgn0036462	mRpL39
RIC-3	FBgn0050296	RIC-3
CAP	FBgn0033504	CAP
CAP	FBgn0015615	SMC3
CAP	FBgn0039722	Capa
CAP	FBgn0261458	capt
dpa	FBgn0015929	dpa
rb	FBgn0003210	rb
rb	FBal0178229	rb[unspecified]
rb	FBgn0015799	Rbf
Hml	FBgn0029167	Hml
CG9380	FBgn0035094	CG9380
CG2681-RA	FBtr0070480	CG2681-RA
drk	FBgn0004638	drk
RpS7	FBgn0039757	RpS7
RpS7	FBgn0032236	mRpS7
sgg	FBgn0003371	sgg
PlexA	FBgn0025741	PlexA
CG6409	FBgn0036106	CG6409
Prp19	FBgn0261119	Prp19
Gale	FBgn0035147	Gale
Sec16	FBgn0052654	Sec16
Adk1	FBgn0037995	Adk1
Adk1	FBgn0022709	Ak1
Gs1	FBgn0001142	Gs1
Acer	FBgn0016122	Acer
CG10562	FBgn0039326	CG10562
RpS12	FBgn0286213	RpS12
L2HGDH	FBgn0032729	L2HGDH
cmb	FBgn0036365	cmb
CG11208	FBgn0034488	Hacl
ninaE	FBgn0002940	ninaE
CG10347	FBgn0030342	CG10347
CG5174	FBgn0034345	CG5174
Faf2	FBgn0025608	Faf2
Spn43Ab	FBgn0024293	Spn43Ab
GM130	FBgn0034697	GM130
RpS15Aa	FBgn0010198	RpS15Aa
Pax	FBgn0041789	Pax
His1	FBgn0001195	His1
His1	FBgn0053864	His1:CG33864
Dhpr	FBgn0035964	Dhpr
AspRS-m	FBgn0051739	AspRS-m
Bre1	FBgn0086694	Bre1
Dip-B	FBgn0000454	Dip-B
Idgf3	FBgn0020414	Idgf3
eIF2gamma	FBgn0263740	eIF2Î³
mRpS31	FBgn0036557	mRpS31
chb	FBgn0021760	chb
Hrb87F	FBgn0004237	Hrb87F
brm	FBgn0000212	brm
pont	FBgn0040078	pont
CG9498	FBgn0031801	CG9498
fbp	FBgn0032820	fbp
chic	FBgn0000308	chic
chic	FBgn0024248	chico
bic	FBgn0000181	bic
bic	FBal0001133	bic[1]
bic	FBgn0000166	bcd
mRpL43	FBgn0034893	mRpL43
HBS1	FBgn0042712	HBS1
Unr	FBgn0263352	Unr
Updo	FBgn0033428	Urod
CG4679	FBgn0033816	CG4679
Arp3	FBgn0262716	Arp3
RpL11	FBgn0013325	RpL11
RpL11	FBgn0010408	RpS9
Mal-A5	FBgn0050359	Mal-A5
CG1416	FBgn0032961	CG1416
Gclc	FBgn0040319	Gclc
Upf1	FBgn0030354	Upf1
Galphaq	FBgn0004435	GÎ±q
Galphaq	FBgn0033756	CG17760
Galphaq	FBgn0050054	CG30054
D1	FBgn0000412	D1
D1	FBab0026852	Df(3L)HnD-1
D1	FBal0012578	mul[3]
D1	FBal0012636	mus301[D1]
D1	FBal0015270	Scm[D1]
D1	FBal0017847	vas[3]
D1	FBal0090703	E(tkv)D1[D1]
D1	FBal0097226	Mhc[D1]
D1	FBal0102527	eRF1[D1]
D1	FBal0119483	Gad1[E143K]
D1	FBal0190368	Desat1[1573-D1]
D1	FBgn0000463	Dl
D1	FBgn0001149	GstD1
D1	FBgn0001977	CIAPIN1
D1	FBgn0020608	anon-12Db
D1	FBgn0025009	E(tkv)D1
D1	FBtp0093204	P{eve-lacZ.D1}
CG1677-RB	FBtr0303415	CG1677-RB
CG2915-RB	FBtr0088878	CG2915-RB
CG13096	FBgn0032050	CG13096
Kap-alpha3	FBgn0027338	Kap-Î±3
Papss	FBgn0020389	Papss
17839	FBgn0036454	CG17839
17839	FBti0105850	P{GSV6}GS17839
Dme_CG7627	FBgn0032026	CG7627
Marf	FBgn0029870	Marf
RpL18A	FBgn0010409	RpL18A
Galphas	FBgn0001123	GÎ±s
CG12065	FBgn0030052	CG12065
Cnot4	FBgn0051716	Cnot4
Galphas	FBgn0001123	GÎ±s
LUBEL	FBgn0031857	LUBEL
RhoGDI	FBgn0036921	RhoGDI
Srp19	FBgn0015298	Srp19
FK506-bp2	FBgn0013954	Fkbp12
ND-15	FBgn0031228	ND-15
CG11148	FBgn0039936	Gyf
Srp54k	FBgn0010747	Srp54k
Nnp-1	FBgn0022069	Nnp-1
nst	FBgn0036298	nst
RpS14b	FBgn0004404	RpS14b
CG17544	FBgn0032775	CG17544
KRT10	unknown ID	-
CG17683	FBgn0262115	CG17683
t	FBgn0086367	t
t	FBal0082194	tardiness[t]
t	FBgn0022961	tardiness
Rad23	FBgn0026777	Rad23
Inx2	FBgn0027108	Inx2
CG3534	FBgn0038463	CG3534
Hel25E	FBgn0014189	Hel25E
DNApol-alpha180	FBgn0259113	PolA1
Gfat2	FBgn0039580	Gfat2
CG3961	FBgn0036821	CG3961
SkpA	FBgn0025637	SkpA
Myo31DF	FBgn0086347	Myo31DF
CG10924	FBgn0003067	Pepck1
CG10924	FBgn0034356	Pepck2
CSN4	FBgn0027054	CSN4
ND-23	FBgn0017567	ND-23
FeCh	unknown ID	-
Prosbeta5	FBgn0029134	ProsÎ²5
POLDIP2	FBgn0037329	POLDIP2
Saf-B	FBgn0039229	Saf-B
Cse1	FBgn0022213	Cse1
Dip-C	FBgn0000455	Dip-C
CG5214	FBgn0037891	CG5214
CG11005	FBgn0051549	CG31549
CG11005	FBgn0051551	CG31551
CG18135	FBgn0036837	CG18135
Tom20	FBgn0036928	Tom20
RpS10b	FBgn0285947	RpS10b
Cul3	FBgn0261268	Cul3
anon-WO0172774.89	FBgn0020388	Gcn5
anon-WO0172774.89	FBgn0036285	toe
anon-WO0172774.89	FBgn0036290	CG10638
anon-WO0172774.89	FBgn0041775	tral
anon-WO0172774.89	FBgn0262524	ver
wdp	FBgn0034718	wdp
mIF2	FBgn0039588	mIF2
CG9149	FBgn0035203	Acat2
TBCB	FBgn0034451	TBCB
RpL23	FBgn0010078	RpL23
RpL23	FBgn0261678	M(2)59B
CG7966	FBgn0038115	CG7966
CG9588	FBgn0038166	CG9588
Ote	FBgn0266420	Ote
Coprox	FBgn0021944	Coprox
Prx2540-2	FBgn0033518	Prx2540-2
CG7332	FBgn0030973	CG7332
c62E-11	FBgn0266696	Svil
sgg	FBgn0003371	sgg
eIF4AIII	FBgn0037573	CG7483
LeuRS-m	FBgn0027085	LeuRS-m
CG13321	FBgn0033787	CG13321
CG17333	FBgn0030239	CG17333
RpS5a	FBgn0002590	RpS5a
Nup154	FBgn0021761	Nup154
Pdk	FBgn0017558	Pdk
Usp14	FBgn0032216	Usp14
eIF3ga	FBgn0029629	eIF3g1
Pkc98E	FBgn0003093	Pkc98E
CG5721	FBgn0034315	CG5721
Arp1	FBgn0011745	Arp1
Arp1	FBgn0030088	Arfrp1
CG8613	FBgn0033924	CG8613
snRNP-U1-70K	FBgn0016978	snRNP-U1-70K
COX6B	FBgn0031066	COX6B
CG4598	FBgn0032160	CG4598
Lac	FBgn0010238	Lac
ND-B16.6	FBgn0029868	ND-B16.6
spoon	FBgn0263987	spoon
spoon	FBal0240177	spoon[1]
inaC	FBgn0004784	inaC
mahe	FBgn0029979	mahe
CG34120	FBgn0083956	CG34120
BicD	FBgn0000183	BicD
PPP4R2r	FBgn0030208	PPP4R2r
Nup160	FBgn0262647	Nup160
CG31195-RA	unknown ID	-
vib	FBgn0267975	vib
vib	FBgn0031066	COX6B
PI4KIIIalpha	FBgn0267350	Pi4KIIIÎ±
CG3808	FBgn0036838	CG3808
Lpin	FBgn0263593	Lpin
Hexo2	FBgn0041629	Hexo2
Eip55E	FBgn0000566	Eip55E
RpL28	FBgn0035422	RpL28
Mur2B	FBgn0025390	Mur2B
RpL13	FBgn0011272	RpL13
Spt5	FBgn0040273	Spt5
Rok	FBgn0026181	Rok
Rok	FBgn0260798	Gprk1
Pfdn5	FBgn0038976	Pfdn5
RpS5b	FBgn0038277	RpS5b
rad50	FBgn0034728	rad50
Idgf2	FBgn0020415	Idgf2
CtBP	FBgn0020496	CtBP
CG11458	FBgn0040637	CG11458
Hmt-1	FBgn0038376	Hmt-1
Mo25	FBgn0017572	Mo25
Sara	FBgn0026369	Sara
eIF-5A	FBgn0285952	eEF5
CG6726	FBgn0039049	CG6726
Rab7	FBgn0015795	Rab7
Obp99c	FBgn0039682	Obp99c
Obp99c	FBgn0039684	Obp99d
Mms19	FBgn0037301	Mms19
Ref1	FBgn0010774	Ref1
CG15014	FBgn0035532	CG15014
CG11505	FBgn0035424	Larp4B
Sf3b1	FBgn0031266	Sf3b1
SpdS	FBgn0037723	SpdS
RIC-3	FBgn0050296	RIC-3
Su(var)205	FBgn0003607	Su(var)205
Su(var)205	FBal0016503	Su(var)205[1]
Top2	FBgn0284220	Top2
Arpc2	FBgn0032859	Arpc2
Ance	FBgn0012037	Ance
DCP1	FBgn0034921	DCP1
DCP1	FBgn0010501	Dcp-1
DCP1	FBgn0013770	Cp1
DCP1	FBgn0020641	Lcp65Ad
Lrpprc2	FBgn0027794	Lrpprc2
Hrb98DE	FBgn0001215	Hrb98DE
Ubp64E	FBgn0016756	Usp47
Tango5	FBgn0052675	Tango5
alpha-Est5	FBgn0261393	Î±-Est5
Lsp1beta	FBgn0002563	Lsp1Î²
CG3226	FBgn0029882	CG3226
PP2A-B'	FBgn0027492	wdb
PP2A-B'	FBgn0042693	wrd
Vha36-1	FBgn0022097	Vha36-1
Fer1HCH	FBgn0015222	Fer1HCH
CG1665-RA	FBtr0088478	Marc-RA
CG4984-RC	FBtr0301182	CG4984-RC
Pmp70	FBgn0031069	Abcd3
Nup44A	FBgn0033247	Nup44A
CG2246-RA	FBtr0085673	CG2246-RA
Txl	FBgn0035631	Txl
CG4670	FBgn0033814	Qsox1
CG4363	FBgn0034663	CG4363
Zasp66	FBgn0035917	Zasp66
TfIIS	FBgn0010422	TfIIS
Ciao1	FBgn0033972	Ciao1
Sra-1	FBgn0038320	Cyfip
CG8771	FBgn0033766	Nup188
Cdc37	FBgn0011573	Cdc37
eIF2Bdelta	FBgn0034858	eIF2BÎ´
nrm	FBgn0262509	nrm
mts	FBgn0004177	mts
B52	FBgn0004587	B52
B52	FBab0006748	T(1;Y)B52
B52	FBal0121934	Su(rst)B52[B52]
B52	FBgn0044007	Su(rst)B52
B52	FBtp0056125	P{UAS-VGlut.B52.GFP}
CG31368	FBgn0051368	CG31368
Adi1	FBgn0052068	Adi1
CAH1	FBgn0027844	CAH1
alpha-Est5	FBgn0261393	Î±-Est5
CG16817	FBgn0037728	p23
Pp1alpha-96A	FBgn0003134	Pp1Î±-96A
Got1	FBgn0001124	Got1
pdgy	FBgn0027601	pdgy
Ns1	FBgn0038473	Ns1
Aos1	FBgn0029512	Aos1
Rtnl1	FBgn0053113	Rtnl1
142335_at	FBgn0037063	CG9391
mbf1	FBgn0262732	mbf1
tst	FBgn0039117	tst
Usp16-45	FBgn0029763	Usp16-45
wupA	FBgn0283471	wupA
CG5789-RA	FBtr0089906	Cftr-RA
Tg	FBgn0031975	Tg
Tg	FBab0004610	In(2L)Tg
Tg	FBal0003098	dpp[Tg]
Tg	FBgn0000490	dpp
glu	FBgn0015391	glu
glu	FBgn0024963	GluClÎ±
obst-A	FBgn0031097	obst-A
Sgt1	FBgn0265101	Sgt1
Prat	FBgn0004901	Prat
Sec5	FBgn0266670	Sec5
QIL1	FBgn0036726	QIL1
Fcp1	FBgn0035026	Fcp1
Syx1A	FBgn0013343	Syx1A
BG:DS01759.2	FBgn0028526	CG15293
CG1824	FBgn0030403	CG1824
Sec61alpha	FBgn0086357	Sec61Î±
Cul2	FBgn0032956	Cul2
Pect	FBgn0032482	Pect
eIF3-S5-1	unknown ID	-
anon-EST:Liang-2.45	FBgn0035793	CG7546
RpS13	FBgn0010265	RpS13
Sgt	FBgn0032640	Sgt
htt	FBgn0027655	htt
dUTPase	FBgn0250837	dUTPase
CG31104	FBgn0051104	CG31104
Oat	FBgn0022774	Oat
sals	FBgn0051374	sals
CG6617	FBgn0030944	Hou
I-2	FBgn0028429	I-2
I-2	FBtp0036676	P{C15.I-2.hs43-lacZ}
Q9VKZ7_DROME	FBgn0032217	CG4972
Cpr72Ec	FBgn0036619	Cpr72Ec
Stt3A	FBgn0031149	Stt3A
scf	FBgn0025682	scf
CG11594	FBgn0035484	CG11594
stai	FBgn0266521	stai
stai	FBgn0032006	Pvr
Manf	FBgn0027095	Manf
CG8128	FBgn0030668	CG8128
TrpRS	FBgn0010803	TrpRS
CG8149	FBgn0037700	CG8149
Lasp	FBgn0063485	Lasp
eIF2Bepsilon	FBgn0023512	eIF2BÎµ
Arp2	FBgn0011742	Arp2
mge	FBgn0035473	mge
CT31762	FBgn0031217	CG11377
Elp1	FBgn0037926	Elp1
dUTPase	FBgn0250837	dUTPase
mRpS29	FBgn0034727	mRpS29
CG6745	FBgn0035901	Pus7
CG10672	FBgn0035588	Dhrs4
stac	FBgn0266719	stac
CG11722	FBgn0037777	CG11722
Art3	FBgn0038306	Art3
RpL32	FBgn0002626	RpL32
bur	FBgn0000239	bur
bur	FBal0001338	bur[1]
CG10289	FBgn0035688	fmt
CG10098	FBgn0037472	CG10098
CG31373	FBgn0051373	CG31373
GLS	FBgn0261625	GLS
CG5126	FBgn0031320	CG5126
alphaSnap	FBgn0250791	Î±Snap
TBPH	FBgn0025790	TBPH
